SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,SCOPE_IDENTITY,SQL,1,1
1326535c-8e77-4991-8f81-b3df51640d54,Statement,DECLARE VARIABLE,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,Statement,DECLARE,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,Data Type,DATETIME,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,LEFT JOIN,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,SELECT,SQL,5,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,HAVING,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,SUM,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,ORDER BY,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,<TSqlsBatch-UNKNOWN>,GOTO / LABEL,SQL,5,0
1326535c-8e77-4991-8f81-b3df51640d54,Data Type,INT,SQL,6,0
1326535c-8e77-4991-8f81-b3df51640d54,Statement - Control of Flow,BEGIN...END,SQL,5,0
1326535c-8e77-4991-8f81-b3df51640d54,Set Operator,EXCEPT,SQL,12,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,NULL,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,MAX,SQL,3,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,VALUES,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,DESC,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,Operator,-,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Operator,=,SQL,11,0
1326535c-8e77-4991-8f81-b3df51640d54,Operator,OR,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,GROUP BY,SQL,3,0
1326535c-8e77-4991-8f81-b3df51640d54,Statement,SET @local_variable,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,DML,INTO,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,GETDATE,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,COUNT,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Statement,ASSIGNMENT EXPR,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Functions & Expressions,DATEADD,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Operator,<,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,TOP,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,FROM,SQL,4,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,ON,SQL,8,0
1326535c-8e77-4991-8f81-b3df51640d54,Query,INNER JOIN,SQL,7,0
1326535c-8e77-4991-8f81-b3df51640d54,Statement,SET,SQL,5,5
1326535c-8e77-4991-8f81-b3df51640d54,Query,WHERE,SQL,2,0
1326535c-8e77-4991-8f81-b3df51640d54,DML,INSERT,SQL,1,0
1326535c-8e77-4991-8f81-b3df51640d54,DDL,CREATE PROCEDURE,SQL,5,0
