PartitionKey,FileType,Category,CodeUnit,CodeUnitName,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage
d36e5bb6-2457-444d-b620-3d9bc30470a3,SQL,PROCEDURE,CREATE PROCEDURE,"[AddRental](INT,INT,INT)",dbo_AddRental.sql,1,17,2,1,0,Medium,N/A,SSC-EWI-0040 | SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,88.24%
d36e5bb6-2457-444d-b620-3d9bc30470a3,SQL,PROCEDURE,CREATE PROCEDURE,[GetInactiveCustomers],dbo_GetInactiveCustomers.sql,1,10,1,1,0,Low,N/A,SSC-EWI-0040,SSC-FDM-0007,N/A,Partial,90%
d36e5bb6-2457-444d-b620-3d9bc30470a3,SQL,PROCEDURE,CREATE PROCEDURE,[GetTopRentedMovies],dbo_GetTopRentedMovies.sql,1,11,1,1,0,Low,N/A,SSC-EWI-0040,SSC-FDM-0007,N/A,Partial,90.91%
d36e5bb6-2457-444d-b620-3d9bc30470a3,SQL,PROCEDURE,CREATE PROCEDURE,[GetCustomerRentals](INT),dbo_GetCustomerRentals.sql,1,12,1,1,0,Low,N/A,SSC-EWI-0040,SSC-FDM-0007,N/A,Partial,91.67%
d36e5bb6-2457-444d-b620-3d9bc30470a3,SQL,PROCEDURE,CREATE PROCEDURE,[GetStoreRevenue](INT),dbo_GetStoreRevenue.sql,1,13,1,1,0,Low,N/A,SSC-EWI-0040,SSC-FDM-0007,N/A,Partial,92.31%
