SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement,DECLARE VARIABLE,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Operator,OR,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,GROUP BY,SQL,3,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,MAX,SQL,3,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,FROM,SQL,4,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Operator,-,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement,DECLARE,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Data Type,DATETIME,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,DATEADD,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement,SET @local_variable,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,NULL,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,GETDATE,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,INNER JOIN,SQL,7,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,DDL,CREATE PROCEDURE,SQL,5,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement - Control of Flow,BEGIN...END,SQL,5,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,WHERE,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement,ASSIGNMENT EXPR,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,HAVING,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,SCOPE_IDENTITY,SQL,1,1
d36e5bb6-2457-444d-b620-3d9bc30470a3,Operator,=,SQL,11,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,DML,INTO,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,COUNT,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,DESC,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,ORDER BY,SQL,2,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,SELECT,SQL,5,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Set Operator,EXCEPT,SQL,12,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,ON,SQL,8,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,<TSqlsBatch-UNKNOWN>,GOTO / LABEL,SQL,5,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Data Type,INT,SQL,6,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,LEFT JOIN,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,VALUES,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Statement,SET,SQL,5,5
d36e5bb6-2457-444d-b620-3d9bc30470a3,DML,INSERT,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Functions & Expressions,SUM,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Query,TOP,SQL,1,0
d36e5bb6-2457-444d-b620-3d9bc30470a3,Operator,<,SQL,1,0
